# lat,lon,elevation,time
5.049680299999999988e+01,1.636650600000000111e+01,4.116999999999999886e+02,1.662883450000000000e+09
5.049676800000000298e+01,1.636649900000000102e+01,4.118000000000000114e+02,1.662883451000000000e+09
5.049674100000000010e+01,1.636651300000000120e+01,4.118999999999999773e+02,1.662883452000000000e+09
5.049671800000000133e+01,1.636654800000000165e+01,4.118999999999999773e+02,1.662883453000000000e+09
5.049669399999999797e+01,1.636658100000000005e+01,4.118000000000000114e+02,1.662883454000000000e+09
5.049667399999999873e+01,1.636659900000000079e+01,4.118000000000000114e+02,1.662883455000000000e+09
5.049664599999999837e+01,1.636662199999999956e+01,4.118000000000000114e+02,1.662883456000000000e+09
5.049661499999999847e+01,1.636664100000000133e+01,4.118000000000000114e+02,1.662883457000000000e+09
5.049658199999999653e+01,1.636664800000000142e+01,4.118000000000000114e+02,1.662883458000000000e+09
5.049655099999999663e+01,1.636663899999999927e+01,4.116999999999999886e+02,1.662883459000000000e+09
5.049651800000000179e+01,1.636662600000000012e+01,4.116999999999999886e+02,1.662883460000000000e+09
5.049649300000000096e+01,1.636661099999999891e+01,4.116999999999999886e+02,1.662883461000000000e+09
5.049647399999999919e+01,1.636659399999999920e+01,4.116999999999999886e+02,1.662883462000000000e+09
5.049645799999999696e+01,1.636657200000000145e+01,4.116000000000000227e+02,1.662883463000000000e+09
5.049643700000000024e+01,1.636655199999999866e+01,4.116000000000000227e+02,1.662883464000000000e+09
5.049641499999999894e+01,1.636652899999999988e+01,4.116000000000000227e+02,1.662883465000000000e+09
5.049639799999999923e+01,1.636650399999999905e+01,4.116000000000000227e+02,1.662883466000000000e+09
5.049637899999999746e+01,1.636647699999999972e+01,4.116000000000000227e+02,1.662883467000000000e+09
5.049636199999999775e+01,1.636645700000000048e+01,4.116999999999999886e+02,1.662883468000000000e+09
5.049633500000000197e+01,1.636642799999999909e+01,4.116999999999999886e+02,1.662883469000000000e+09
5.049631099999999861e+01,1.636640299999999826e+01,4.116999999999999886e+02,1.662883470000000000e+09
5.049628400000000283e+01,1.636636599999999930e+01,4.118000000000000114e+02,1.662883471000000000e+09
